datetime,fecha,tramo,DOMICILIO,LLEVAR,LOCAL,RECOGER
2024-01-08 20:15:00,2024-01-08,20:15 - 20:29,0,1,0,0
2024-01-08 20:30:00,2024-01-08,20:30 - 20:44,0,0,0,0
2024-01-08 20:45:00,2024-01-08,20:45 - 20:59,0,0,0,1
2024-01-08 21:00:00,2024-01-08,21:00 - 21:14,0,2,0,1
2024-01-08 21:15:00,2024-01-08,21:15 - 21:29,2,0,0,0
2024-01-08 21:30:00,2024-01-08,21:30 - 21:44,0,0,0,1
2024-01-08 21:45:00,2024-01-08,21:45 - 21:59,0,1,1,0
2024-01-08 22:00:00,2024-01-08,22:00 - 22:14,0,0,0,0
2024-01-08 22:15:00,2024-01-08,22:15 - 22:29,0,0,0,1
2024-01-08 22:30:00,2024-01-08,22:30 - 22:44,0,0,0,0
2024-01-08 22:45:00,2024-01-08,22:45 - 22:59,0,0,0,0
2024-01-08 23:00:00,2024-01-08,23:00 - 23:14,0,1,0,0
2024-01-08 23:15:00,2024-01-08,23:15 - 23:29,0,1,0,0
2024-01-09 12:45:00,2024-01-09,12:45 - 12:59,0,0,0,0
2024-01-09 13:00:00,2024-01-09,13:00 - 13:14,0,0,1,0
2024-01-09 13:15:00,2024-01-09,13:15 - 13:29,0,1,0,0
2024-01-09 13:30:00,2024-01-09,13:30 - 13:44,0,2,0,0
2024-01-09 13:45:00,2024-01-09,13:45 - 13:59,0,0,0,0
2024-01-09 14:00:00,2024-01-09,14:00 - 14:14,0,0,1,0
2024-01-09 14:15:00,2024-01-09,14:15 - 14:29,0,0,0,1
2024-01-09 14:30:00,2024-01-09,14:30 - 14:44,0,0,0,0
2024-01-09 14:45:00,2024-01-09,14:45 - 14:59,0,0,0,0
2024-01-09 15:00:00,2024-01-09,15:00 - 15:14,0,0,0,0
2024-01-09 15:15:00,2024-01-09,15:15 - 15:29,0,1,0,0
2024-01-09 15:45:00,2024-01-09,15:45 - 15:59,0,0,0,0
2024-01-09 18:45:00,2024-01-09,18:45 - 18:59,0,0,0,0
2024-01-09 19:00:00,2024-01-09,19:00 - 19:14,0,0,0,0
2024-01-09 19:15:00,2024-01-09,19:15 - 19:29,0,0,0,2
2024-01-09 19:30:00,2024-01-09,19:30 - 19:44,0,0,0,0
2024-01-09 19:45:00,2024-01-09,19:45 - 19:59,0,0,0,1
2024-01-09 20:00:00,2024-01-09,20:00 - 20:14,0,0,0,0
2024-01-09 20:15:00,2024-01-09,20:15 - 20:29,0,0,0,2
2024-01-09 20:30:00,2024-01-09,20:30 - 20:44,0,0,0,1
2024-01-09 20:45:00,2024-01-09,20:45 - 20:59,0,1,0,0
2024-01-09 21:00:00,2024-01-09,21:00 - 21:14,0,0,0,3
2024-01-09 21:15:00,2024-01-09,21:15 - 21:29,1,0,1,0
2024-01-09 21:30:00,2024-01-09,21:30 - 21:44,2,0,0,1
2024-01-09 21:45:00,2024-01-09,21:45 - 21:59,2,1,0,1
2024-01-09 22:00:00,2024-01-09,22:00 - 22:14,1,0,0,0
2024-01-09 22:15:00,2024-01-09,22:15 - 22:29,0,0,0,2
2024-01-09 22:30:00,2024-01-09,22:30 - 22:44,0,0,0,1
2024-01-09 22:45:00,2024-01-09,22:45 - 22:59,0,0,0,0
2024-01-09 23:00:00,2024-01-09,23:00 - 23:14,0,0,0,0
2024-01-09 23:15:00,2024-01-09,23:15 - 23:29,0,0,0,0
2024-01-10 12:45:00,2024-01-10,12:45 - 12:59,0,0,0,0
2024-01-10 13:00:00,2024-01-10,13:00 - 13:14,0,0,0,0
2024-01-10 13:15:00,2024-01-10,13:15 - 13:29,1,0,0,0
2024-01-10 13:30:00,2024-01-10,13:30 - 13:44,0,0,0,0
2024-01-10 13:45:00,2024-01-10,13:45 - 13:59,0,0,0,0
2024-01-10 14:00:00,2024-01-10,14:00 - 14:14,1,1,0,0
2024-01-10 14:15:00,2024-01-10,14:15 - 14:29,0,1,0,0
2024-01-10 14:30:00,2024-01-10,14:30 - 14:44,0,0,0,0
2024-01-10 14:45:00,2024-01-10,14:45 - 14:59,0,0,0,0
2024-01-10 15:00:00,2024-01-10,15:00 - 15:14,0,0,0,0
2024-01-10 15:15:00,2024-01-10,15:15 - 15:29,0,0,0,0
2024-01-10 15:45:00,2024-01-10,15:45 - 15:59,0,0,0,0
2024-01-10 18:45:00,2024-01-10,18:45 - 18:59,0,0,0,0
2024-01-10 19:00:00,2024-01-10,19:00 - 19:14,0,0,0,0
2024-01-10 19:15:00,2024-01-10,19:15 - 19:29,0,0,0,0
2024-01-10 19:30:00,2024-01-10,19:30 - 19:44,1,0,0,0
2024-01-10 19:45:00,2024-01-10,19:45 - 19:59,0,0,0,0
2024-01-10 20:00:00,2024-01-10,20:00 - 20:14,1,0,0,0
2024-01-10 20:15:00,2024-01-10,20:15 - 20:29,1,0,0,0
2024-01-10 20:30:00,2024-01-10,20:30 - 20:44,0,1,0,0
2024-01-10 20:45:00,2024-01-10,20:45 - 20:59,3,1,0,0
2024-01-10 21:00:00,2024-01-10,21:00 - 21:14,2,1,0,0
2024-01-10 21:15:00,2024-01-10,21:15 - 21:29,1,0,0,1
2024-01-10 21:30:00,2024-01-10,21:30 - 21:44,0,1,0,0
2024-01-10 21:45:00,2024-01-10,21:45 - 21:59,0,0,0,0
2024-01-10 22:00:00,2024-01-10,22:00 - 22:14,1,0,0,0
2024-01-10 22:15:00,2024-01-10,22:15 - 22:29,0,0,0,0
2024-01-10 22:30:00,2024-01-10,22:30 - 22:44,0,0,0,0
2024-01-10 22:45:00,2024-01-10,22:45 - 22:59,0,0,0,0
2024-01-10 23:00:00,2024-01-10,23:00 - 23:14,0,0,0,0
2024-01-10 23:15:00,2024-01-10,23:15 - 23:29,0,0,0,0
2024-01-11 12:45:00,2024-01-11,12:45 - 12:59,0,0,0,0
2024-01-11 13:00:00,2024-01-11,13:00 - 13:14,0,0,0,1
2024-01-11 13:15:00,2024-01-11,13:15 - 13:29,0,0,0,0
2024-01-11 13:30:00,2024-01-11,13:30 - 13:44,1,0,0,0
2024-01-11 13:45:00,2024-01-11,13:45 - 13:59,0,1,1,0
2024-01-11 14:00:00,2024-01-11,14:00 - 14:14,0,0,0,0
2024-01-11 14:15:00,2024-01-11,14:15 - 14:29,0,0,0,0
2024-01-11 14:30:00,2024-01-11,14:30 - 14:44,0,0,0,0
2024-01-11 14:45:00,2024-01-11,14:45 - 14:59,1,0,0,0
2024-01-11 15:00:00,2024-01-11,15:00 - 15:14,0,0,0,1
2024-01-11 15:15:00,2024-01-11,15:15 - 15:29,0,0,0,0
2024-01-11 15:45:00,2024-01-11,15:45 - 15:59,1,0,0,0
2024-01-11 18:45:00,2024-01-11,18:45 - 18:59,0,0,0,0
2024-01-11 19:00:00,2024-01-11,19:00 - 19:14,0,0,0,1
2024-01-11 19:15:00,2024-01-11,19:15 - 19:29,0,2,1,0
2024-01-11 19:30:00,2024-01-11,19:30 - 19:44,1,0,0,0
2024-01-11 19:45:00,2024-01-11,19:45 - 19:59,0,1,0,1
2024-01-11 20:00:00,2024-01-11,20:00 - 20:14,0,1,0,1
2024-01-11 20:15:00,2024-01-11,20:15 - 20:29,2,0,0,3
2024-01-11 20:30:00,2024-01-11,20:30 - 20:44,0,1,0,5
2024-01-11 20:45:00,2024-01-11,20:45 - 20:59,1,0,0,4
2024-01-11 21:00:00,2024-01-11,21:00 - 21:14,0,2,0,2
2024-01-11 21:15:00,2024-01-11,21:15 - 21:29,2,0,0,1
2024-01-11 21:30:00,2024-01-11,21:30 - 21:44,2,0,0,2
2024-01-11 21:45:00,2024-01-11,21:45 - 21:59,0,0,0,1
2024-01-11 22:00:00,2024-01-11,22:00 - 22:14,1,0,0,1
2024-01-11 22:15:00,2024-01-11,22:15 - 22:29,0,2,0,0
2024-01-11 22:30:00,2024-01-11,22:30 - 22:44,0,0,0,0
2024-01-11 22:45:00,2024-01-11,22:45 - 22:59,0,0,0,0
2024-01-11 23:00:00,2024-01-11,23:00 - 23:14,0,0,0,0
2024-01-11 23:15:00,2024-01-11,23:15 - 23:29,0,0,0,0
2024-01-12 12:45:00,2024-01-12,12:45 - 12:59,1,0,0,0
2024-01-12 13:00:00,2024-01-12,13:00 - 13:14,0,0,0,0
2024-01-12 13:15:00,2024-01-12,13:15 - 13:29,0,0,0,0
2024-01-12 13:30:00,2024-01-12,13:30 - 13:44,1,0,0,0
2024-01-12 13:45:00,2024-01-12,13:45 - 13:59,0,0,0,1
2024-01-12 14:00:00,2024-01-12,14:00 - 14:14,0,0,0,0
2024-01-12 14:15:00,2024-01-12,14:15 - 14:29,0,0,0,0
2024-01-12 14:30:00,2024-01-12,14:30 - 14:44,3,0,0,0
